,Date,NERC,Area,Disturbance,Loss,Affected Customers,Restoration Date
2536,2019-09-04 00:00:00,RF,Maryland,System Operations,134.8943673947547,39661.69565217391,09/04/2019
2537,2019-09-05 00:00:00,SERC,North Carolina,Severe Weather,3.0,2000.0,09/06/2019
2538,2019-09-05 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,116000.0,09/06/2019
2539,2019-09-05 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,172278.0,09/05/2019
2540,2019-09-05 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,09/05/2019
2541,2019-09-06 00:00:00,SERC,North Carolina,Severe Weather,294.72639258283976,77000.0,Unknown
2542,2019-09-10 00:00:00,WECC,Wyoming,Transmission Interruption,885.0,96798.27151972598,09/10/2019
2543,2019-09-11 00:00:00,RF,Michigan,Severe Weather,485.892120885498,54000.0,09/11/2019
2544,2019-09-13 00:00:00,SERC,Tennessee,System Operations,251.62413084738048,49784.83870967742,09/16/2019
2545,2019-09-19 00:00:00,MRO,Washington,Vandalism,39.2493852118473,36850.0,09/19/2019
2546,2019-09-19 00:00:00,WECC,Arizona,Fuel Supply Deficiency,140.56575457814358,11390.25,09/19/2019
2547,2019-09-20 00:00:00,SPPRE,Oklahoma,System Operations,41.84637471161624,52398.09523809524,09/20/2019
2548,2019-09-24 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,09/26/2019
2549,2019-09-25 00:00:00,MRO,Wisconsin,Suspicious Activity,81.56188381985727,27010.277777777777,09/25/2019
2550,2019-09-25 00:00:00,WECC,Nevada,Severe Weather,25.0,69524.0,09/25/2019
2551,2019-09-25 00:00:00,TRE,Texas,Vandalism,227.61758764334965,75034.07073954983,09/25/2019
2552,2019-09-26 00:00:00,RF,Maryland,System Operations,134.8943673947547,39661.69565217391,09/26/2019
2554,2019-09-30 00:00:00,WECC,Washington,System Operations,271.4139681316148,55748.43961352657,09/30/2019
2555,2019-09-30 00:00:00,WECC,Nevada,Actual Physical Attack,3736.0,220871.73214285713,09/30/2019
2556,2019-09-30 00:00:00,WECC,Idaho,Vandalism,68.50671081848073,1736.423076923077,09/30/2019
2557,2019-10-03 00:00:00,SERC,Missouri,Vandalism,82.32797873704556,36113.92682926829,10/03/2019
2558,2019-10-04 00:00:00,WECC,California,Fuel Supply Deficiency,492.8332770163392,58512.31137724551,Unknown
2559,2019-10-06 00:00:00,WECC,California,Fuel Supply Deficiency,492.8332770163392,58512.31137724551,Unknown
2560,2019-10-06 00:00:00,TRE,Texas,Transmission Interruption,227.61758764334965,75034.07073954983,10/06/2019
2561,2019-10-09 00:00:00,WECC,California,Transmission Interruption,2400.0,737808.0,Unknown
2562,2019-10-10 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,10/10/2019
