,Date,NERC,Area,Disturbance,Loss,Affected Customers,Restoration Date
3353,2021-11-17 00:00:00,WECC,Colorado,Vandalism,19.38439024748377,9019.057142857142,Unknown
3355,2021-11-24 00:00:00,WECC,California,Severe Weather,492.8332770163392,81406.0,11/26/2021
3356,2021-11-30 00:00:00,SERC,South Carolina,System Operations,4598.028909817714,130797.42028985507,11/30/2021
3357,2021-11-30 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,11/30/2021
3358,2021-11-30 00:00:00,WECC,California,System Operations,10.0,6000.0,11/30/2021
3359,2021-11-30 00:00:00,WECC,Wyoming,Vandalism,112.9106963937456,97675.75636544176,11/30/2021
3360,2021-12-01 00:00:00,MRO,Wisconsin,System Operations,81.56188381985727,27010.277777777777,12/01/2021
3361,2021-12-02 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,12/02/2021
3362,2021-12-07 00:00:00,RF,Indiana,Transmission Interruption,640.4291071401942,12165.0,12/07/2021
3363,2021-12-08 00:00:00,NPCC,New York,System Operations,218.33384717844993,54921.72173913044,12/08/2021
3364,2021-12-10 00:00:00,WECC,Idaho,Vandalism,68.50671081848073,1736.423076923077,12/10/2021
3365,2021-12-11 00:00:00,SERC,Tennessee,Severe Weather,177.0,107344.0,12/15/2021
3366,2021-12-11 00:00:00,NPCC,New York,Severe Weather,218.33384717844993,103000.0,12/13/2021
3367,2021-12-11 00:00:00,MRO,Michigan,Severe Weather,384.5825715912815,182410.0,12/12/2021
3368,2021-12-11 00:00:00,MRO,Michigan,Severe Weather,388.4470440690463,159947.0,12/11/2021
3369,2021-12-12 00:00:00,SERC,Louisiana,Vandalism,36.0,25521.73846153846,12/12/2021
3370,2021-12-14 00:00:00,WECC,California,Severe Weather,120.0,65994.0,12/14/2021
3371,2021-12-14 00:00:00,WECC,Washington,System Operations,271.4139681316148,55748.43961352657,12/14/2021
3372,2021-12-15 00:00:00,MRO,Kansas,Severe Weather,137.84010282732086,174000.0,12/16/2021
3373,2021-12-15 00:00:00,MRO,Wisconsin,Severe Weather,81.56188381985727,134000.0,12/16/2021
3375,2021-12-15 00:00:00,MRO,Wisconsin,Severe Weather,81.56188381985727,80000.0,Unknown
3376,2021-12-15 00:00:00,MRO,Wisconsin,Severe Weather,81.56188381985727,156000.0,Unknown
3377,2021-12-15 00:00:00,MRO,Minnesota,Severe Weather,193.87276762299862,26829.72972972973,Unknown
3378,2021-12-15 00:00:00,MRO,Nebraska,System Operations,5.0,14684.21052631579,12/15/2021
3380,2021-12-16 00:00:00,MRO,Michigan,Severe Weather,398.14228095820397,200675.0,12/16/2021
3381,2021-12-18 00:00:00,WECC,California,Suspicious Activity,10.0,11770.0,12/18/2021
3382,2021-12-19 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,12/19/2021
3383,2021-12-21 00:00:00,TRE,Texas,System Operations,22.0,75034.07073954983,12/22/2021
3384,2021-12-23 00:00:00,RF,Pennsylvania,Suspicious Activity,148.56996722614406,56300.70909090909,12/23/2021
3385,2021-12-23 00:00:00,NPCC,Massachusetts,System Operations,16.370022732034833,37383.10344827586,12/23/2021
3386,2021-12-24 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,12/24/2021
3387,2021-12-27 00:00:00,WECC,California,Severe Weather,381.0,115830.0,01/01/2022
3388,2021-12-27 00:00:00,WECC,California,System Operations,120.0,65994.0,12/30/2021
3389,2021-12-29 00:00:00,WECC,Nevada,System Operations,2657.17670377655,220871.73214285713,12/29/2021
3390,2021-12-30 00:00:00,SERC,Missouri,Vandalism,82.32797873704556,36113.92682926829,Unknown
3391,2022-01-01 00:00:00,WECC,Washington,System Operations,271.4139681316148,55748.43961352657,01/01/2022
3392,2022-01-01 00:00:00,WECC,Washington,System Operations,271.4139681316148,55748.43961352657,01/02/2022
3393,2022-01-01 00:00:00,SERC,Georgia,Vandalism,1495.8704706470123,66990.77192982456,Unknown
3394,2022-01-01 00:00:00,NPCC,New Hampshire,Suspicious Activity,2.0,845.0,01/01/2022
3395,2022-01-02 00:00:00,WECC,California,Severe Weather,3.0,1706.0,01/02/2022
3396,2022-01-03 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,01/03/2022
3397,2022-01-03 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,60424.0,01/04/2022
3398,2022-01-03 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,142000.0,01/04/2022
3399,2022-01-03 00:00:00,SERC,Mississippi,Severe Weather,283.0,40885.0,01/03/2022
3400,2022-01-05 00:00:00,NPCC,Massachusetts,System Operations,16.370022732034833,37383.10344827586,01/05/2022
3401,2022-01-08 00:00:00,SERC,Florida,Vandalism,227.50106613533714,37765.944444444445,01/12/2022
3402,2022-01-08 00:00:00,NPCC,New Hampshire,Suspicious Activity,41.60597355790024,28826.91304347826,01/08/2022
3403,2022-01-08 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,01/08/2022
3404,2022-01-09 00:00:00,SERC,Mississippi,System Operations,453.3753940828816,75101.94444444444,Unknown
3406,2022-01-13 00:00:00,NPCC,Massachusetts,Suspicious Activity,16.370022732034833,37383.10344827586,01/13/2022
3407,2022-01-14 00:00:00,NPCC,Pennsylvania,Suspicious Activity,265.2552251519016,81420.51360600462,01/14/2022
3409,2022-01-15 00:00:00,NPCC,New York,Suspicious Activity,218.33384717844993,54921.72173913044,01/15/2022
3410,2022-01-16 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,51289.0,01/17/2022
3411,2022-01-16 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,74638.0,01/16/2022
3412,2022-01-16 00:00:00,SERC,Georgia,Severe Weather,436.0,61113.0,01/17/2022
3413,2022-01-18 00:00:00,TRE,Texas,Cyber Event,227.61758764334965,75034.07073954983,01/18/2022
3414,2022-01-19 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,01/19/2022
3416,2022-01-20 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,01/20/2022
3417,2022-01-23 00:00:00,RF,Pennsylvania,Suspicious Activity,148.56996722614406,56300.70909090909,01/23/2022
3418,2022-01-24 00:00:00,WECC,Washington,System Operations,271.4139681316148,55748.43961352657,01/24/2022
3419,2022-01-24 00:00:00,NPCC,New York,Sabotage,218.33384717844993,54921.72173913044,01/24/2022
3420,2022-01-26 00:00:00,SERC,Florida,System Operations,227.50106613533714,37765.944444444445,01/26/2022
3421,2022-01-27 00:00:00,WECC,Nevada,Vandalism,2657.17670377655,220871.73214285713,01/27/2022
3422,2022-01-28 00:00:00,WECC,Colorado,Transmission Interruption,19.38439024748377,9019.057142857142,01/28/2022
3423,2022-01-29 00:00:00,NPCC,Vermont,Severe Weather,120.0,12000.0,01/30/2022
3424,2022-01-30 00:00:00,MRO,Nebraska,System Operations,71.21943582300112,14684.21052631579,01/31/2022
3425,2022-01-31 00:00:00,RF,West Virginia,Suspicious Activity,318.8325409365747,50584.35294117647,01/31/2022
3426,2022-02-01 00:00:00,WECC,California,System Operations,10.0,8124.0,02/01/2022
3427,2022-02-03 00:00:00,SERC,Tennessee,Transmission Interruption,251.62413084738048,255000.0,02/07/2022
3428,2022-02-03 00:00:00,RF,Ohio,Transmission Interruption,333.98545180267575,51000.0,02/04/2022
3429,2022-02-03 00:00:00,RF,Ohio,Transmission Interruption,333.98545180267575,51000.0,Unknown
3430,2022-02-04 00:00:00,TRE,Texas,Transmission Interruption,227.61758764334965,75034.07073954983,02/04/2022
3431,2022-02-04 00:00:00,NPCC,New York,Transmission Interruption,218.33384717844993,67404.0,Unknown
3432,2022-02-09 00:00:00,NPCC,New York,Vandalism,218.33384717844993,54921.72173913044,02/09/2022
3433,2022-02-12 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,02/12/2022
3434,2022-02-17 00:00:00,NPCC,Rhode Island,Suspicious Activity,272.4920834793604,257256.77777777778,02/17/2022
3435,2022-02-17 00:00:00,SERC,Louisiana,System Operations,80.0,25521.73846153846,02/17/2022
3436,2022-02-18 00:00:00,NPCC,Vermont,Severe Weather,7.0,7047.0,02/18/2022
3437,2022-02-22 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,02/22/2022
3438,2022-02-24 00:00:00,TRE,Texas,Transmission Interruption,3.0,1405.0,02/24/2022
3439,2022-02-24 00:00:00,WECC,California,System Operations,246.0,58512.31137724551,02/24/2022
3440,2022-02-25 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,02/25/2022
3441,2022-02-26 00:00:00,WECC,Washington,Actual Physical Attack,271.4139681316148,55748.43961352657,02/26/2022
3442,2022-02-28 00:00:00,TRE,Texas,Vandalism,227.61758764334965,75034.07073954983,02/28/2022
3443,2022-03-01 00:00:00,RF,Indiana,System Operations,654.315931372474,12165.0,03/01/2022
3444,2022-03-02 00:00:00,SERC,South Carolina,System Operations,4598.028909817714,130797.42028985507,03/02/2022
3446,2022-03-06 00:00:00,TRE,Texas,Cyber Event,227.61758764334965,75034.07073954983,03/06/2022
3447,2022-03-08 00:00:00,TRE,Georgia,System Operations,48.0,5855.0,03/08/2022
3448,2022-03-10 00:00:00,MRO,Nebraska,Transmission Interruption,71.21943582300112,14684.21052631579,03/10/2022
3449,2022-03-11 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,03/11/2022
3450,2022-03-12 00:00:00,SERC,Mississippi,Severe Weather,139.0,19380.0,Unknown
3451,2022-03-13 00:00:00,MRO,Minnesota,Vandalism,193.87276762299862,26829.72972972973,03/13/2022
3452,2022-03-14 00:00:00,TRE,Texas,Vandalism,227.61758764334965,75034.07073954983,03/14/2022
3453,2022-03-14 00:00:00,RF,New Jersey,Suspicious Activity,35.071579503023216,98520.64705882352,Unknown
3454,2022-03-15 00:00:00,WECC,California,Vandalism,10.0,3958.0,03/15/2022
3455,2022-03-15 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,03/15/2022
3456,2022-03-16 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,03/16/2022
3457,2022-03-17 00:00:00,SERC,North Carolina,Vandalism,294.72639258283976,75850.97619047618,44641
3458,2022-03-18 00:00:00,SERC,Florida,Transmission Interruption,78.0,20423.0,Unknown
3459,2022-03-20 00:00:00,MRO,Minnesota,System Operations,193.87276762299862,26829.72972972973,03/20/2022
3460,2022-03-21 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,170000.0,03/24/2022
3461,2022-03-22 00:00:00,RF,Maryland,Suspicious Activity,134.8943673947547,39661.69565217391,03/22/2022
3462,2022-03-22 00:00:00,MRO,South Dakota,Transmission Interruption,133.27538495011885,10002.0,03/22/2022
3463,2022-03-25 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,03/25/2022
3464,2022-03-29 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,Unknown
3465,2022-03-29 00:00:00,NPCC,Vermont,Vandalism,72.8917153934307,91694.48333333334,03/30/2022
3466,2022-03-30 00:00:00,SERC,Mississippi,Severe Weather,453.3753940828816,66448.0,Unknown
3467,2022-03-31 00:00:00,RF,Michigan,Severe Weather,60.0,70000.0,04/01/2022
3469,2022-03-31 00:00:00,SERC,Mississippi,Severe Weather,157.0,22000.0,03/31/2022
3471,2022-04-10 00:00:00,SERC,Arkansas,System Operations,5.0,27725.25,04/10/2022
3472,2022-04-10 00:00:00,SERC,Arkansas,System Operations,5.0,27725.25,04/10/2022
3473,2022-04-11 00:00:00,WECC,Washington,Severe Weather,3140.0,73717.0,04/13/2022
3474,2022-04-11 00:00:00,WECC,California,Actual Physical Attack,2.0,1337.0,04/11/2022
3475,2022-04-11 00:00:00,RF,Maryland,Suspicious Activity,134.8943673947547,39661.69565217391,04/11/2022
3476,2022-04-11 00:00:00,RF,Maryland,Suspicious Activity,134.8943673947547,39661.69565217391,04/11/2022
3477,2022-04-12 00:00:00,SERC,Arkansas,Actual Physical Attack,47.25946382651001,27725.25,04/12/2022
3478,2022-04-13 00:00:00,SERC,Louisiana,System Operations,7.0,2429.0,04/14/2022
3479,2022-04-14 00:00:00,WECC,California,Transmission Interruption,164.0,262268.0,04/14/2022
3482,2022-04-16 00:00:00,WECC,Washington,Suspicious Activity,271.4139681316148,55748.43961352657,Unknown
3483,2022-04-16 00:00:00,WECC,California,System Operations,9290.0,58512.31137724551,Unknown
3484,2022-04-16 00:00:00,WECC,California,System Operations,492.8332770163392,58512.31137724551,04/16/2022
3485,2022-04-16 00:00:00,RF,Pennsylvania,Suspicious Activity,148.56996722614406,56300.70909090909,04/16/2022
3486,2022-04-19 00:00:00,NPCC,New York,Severe Weather,218.33384717844993,97000.0,Unknown
3487,2022-04-19 00:00:00,NPCC,Vermont,Severe Weather,72.8917153934307,67754.0,04/19/2022
3488,2022-04-19 00:00:00,NPCC,New York,Severe Weather,218.33384717844993,84033.0,Unknown
3489,2022-04-22 00:00:00,MRO,North Dakota,Severe Weather,1000.0,2333.0416666666665,04/24/2022
3491,2022-04-23 00:00:00,MRO,North Dakota,Severe Weather,480.0,18430.0,04/24/2022
3493,2022-04-26 00:00:00,MRO,Minnesota,Vandalism,17.0,26829.72972972973,Unknown
3494,2022-04-26 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,04/26/2022
3495,2022-04-27 00:00:00,RF,Ohio,Suspicious Activity,333.98545180267575,33853.63043478261,04/27/2022
3496,2022-04-28 00:00:00,SERC,South Carolina,System Operations,74.0,130797.42028985507,04/28/2022
3497,2022-04-28 00:00:00,WECC,New Mexico,Suspicious Activity,183.91140499265592,11874.25,Unknown
3498,2022-04-29 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,04/29/2022
3499,2022-05-02 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,05/02/2022
3500,2022-05-03 00:00:00,NPCC,New Hampshire,Vandalism,41.60597355790024,28826.91304347826,05/03/2022
3501,2022-05-03 00:00:00,SERC,Louisiana,Actual Physical Attack,120.93986388353828,25521.73846153846,05/04/2022
3502,2022-05-04 00:00:00,RF,Michigan,System Operations,485.892120885498,100242.0985915493,05/05/2022
3503,2022-05-05 00:00:00,SERC,Arkansas,Transmission Interruption,47.25946382651001,27725.25,05/05/2022
3504,2022-05-06 00:00:00,RF,Michigan,Fuel Supply Deficiency,485.892120885498,100242.0985915493,05/06/2022
3505,2022-05-09 00:00:00,TRE,Texas,Vandalism,227.61758764334965,75034.07073954983,05/09/2022
3506,2022-05-09 00:00:00,TRE,Texas,Vandalism,227.61758764334965,75034.07073954983,05/09/2022
3507,2022-05-11 00:00:00,MRO,Minnesota,Severe Weather,193.87276762299862,105000.0,05/11/2022
3508,2022-05-11 00:00:00,MRO,Iowa,Vandalism,418.07604069405204,49007.75,05/11/2022
3509,2022-05-12 00:00:00,MRO,South Dakota,Transmission Interruption,133.27538495011885,10002.0,05/13/2022
3510,2022-05-12 00:00:00,SERC,Mississippi,Vandalism,453.3753940828816,75101.94444444444,05/12/2022
3511,2022-05-12 00:00:00,SERC,Mississippi,Vandalism,453.3753940828816,75101.94444444444,05/12/2022
3512,2022-05-12 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,05/12/2022
3513,2022-05-12 00:00:00,SERC,Missouri,Transmission Interruption,800.0,36113.92682926829,05/12/2022
3514,2022-05-14 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,05/14/2022
3515,2022-05-15 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,150000.0,05/17/2022
3516,2022-05-15 00:00:00,RF,Pennsylvania,Suspicious Activity,148.56996722614406,56300.70909090909,05/15/2022
3517,2022-05-15 00:00:00,RF,Pennsylvania,Suspicious Activity,148.56996722614406,56300.70909090909,05/15/2022
3518,2022-05-16 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,05/16/2022
3519,2022-05-16 00:00:00,WECC,Arizona,System Operations,140.56575457814358,11390.25,05/16/2022
3520,2022-05-17 00:00:00,WECC,New Mexico,Transmission Interruption,25.0,11874.25,Unknown
3521,2022-05-18 00:00:00,WECC,New Mexico,Fuel Supply Deficiency,560.0,11874.25,05/31/2022
3522,2022-05-18 00:00:00,WECC,Idaho,Vandalism,68.50671081848073,1736.423076923077,05/18/2022
3523,2022-05-18 00:00:00,RF,Pennsylvania,Suspicious Activity,148.56996722614406,56300.70909090909,05/18/2022
3524,2022-05-20 00:00:00,NPCC,New York,Transmission Interruption,218.33384717844993,54921.72173913044,05/20/2022
3525,2022-05-20 00:00:00,NPCC,New York,Suspicious Activity,218.33384717844993,54921.72173913044,Unknown
3526,2022-05-21 00:00:00,SERC,Missouri,Actual Physical Attack,82.32797873704556,36113.92682926829,05/22/2022
3527,2022-05-22 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,52172.0,05/22/2022
3528,2022-05-22 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,05/22/2022
3529,2022-05-25 00:00:00,WECC,California,Actual Physical Attack,492.8332770163392,58512.31137724551,05/25/2022
3530,2022-05-27 00:00:00,WECC,New Mexico,System Operations,183.91140499265592,11874.25,05/27/2022
3531,2022-05-27 00:00:00,RF,Ohio,Suspicious Activity,333.98545180267575,33853.63043478261,05/27/2022
3532,2022-05-29 00:00:00,RF,Pennsylvania,Transmission Interruption,148.56996722614406,56300.70909090909,05/31/2022
3533,2022-05-29 00:00:00,RF,Pennsylvania,System Operations,148.56996722614406,56300.70909090909,05/29/2022
3534,2022-05-30 00:00:00,WECC,California,System Operations,492.8332770163392,58512.31137724551,05/31/2022
3535,2022-05-31 00:00:00,TRE,Texas,Vandalism,227.61758764334965,75034.07073954983,05/31/2022
3536,2022-06-01 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,06/01/2022
3537,2022-06-02 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,Unknown
3538,2022-06-03 00:00:00,SERC,Georgia,Vandalism,1495.8704706470123,66990.77192982456,06/03/2022
3539,2022-06-04 00:00:00,TRE,Texas,Generation Inadequacy,227.61758764334965,75034.07073954983,06/05/2022
3540,2022-06-05 00:00:00,WECC,California,Generation Inadequacy,492.8332770163392,58512.31137724551,06/05/2022
3541,2022-06-06 00:00:00,WECC,California,System Operations,13.0,4000.0,06/06/2022
3545,2022-06-09 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,06/09/2022
3546,2022-06-09 00:00:00,WECC,Wyoming,Vandalism,112.9106963937456,97785.99988278424,06/09/2022
3547,2022-06-10 00:00:00,TRE,Texas,Vandalism,227.61758764334965,75034.07073954983,06/10/2022
3548,2022-06-10 00:00:00,WECC,California,System Operations,100.0,39094.0,06/10/2022
3549,2022-06-10 00:00:00,WECC,California,System Operations,100.0,58512.31137724551,06/10/2022
3550,2022-06-10 00:00:00,WECC,California,System Operations,13437.0,445.0,Unknown
3553,2022-06-13 00:00:00,RF,Michigan,System Operations,485.892120885498,100242.0985915493,06/14/2022
3554,2022-06-14 00:00:00,RF,Ohio,System Operations,373.0,33853.63043478261,Unknown
3555,2022-06-14 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,06/14/2022
3557,2022-06-15 00:00:00,RF,Michigan,System Operations,485.892120885498,100242.0985915493,06/15/2022
3558,2022-06-16 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,77908.0,06/16/2022
3559,2022-06-16 00:00:00,WECC,Washington,Suspicious Activity,35.0,7500.0,06/16/2022
3560,2022-06-17 00:00:00,SERC,North Carolina,Severe Weather,294.72639258283976,44000.0,06/18/2022
3562,2022-06-17 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,91056.0,06/18/2022
3564,2022-06-20 00:00:00,MRO,Minnesota,System Operations,193.87276762299862,15604.0,06/20/2022
3566,2022-06-23 00:00:00,NPCC,New Jersey,Suspicious Activity,56.070550302639,41000.0,06/23/2022
3567,2022-06-23 00:00:00,WECC,California,Fuel Supply Deficiency,492.8332770163392,58512.31137724551,Unknown
3568,2022-06-24 00:00:00,SERC,Louisiana,Fuel Supply Deficiency,120.93986388353828,25521.73846153846,06/25/2022
3569,2022-06-26 00:00:00,WECC,Nevada,Vandalism,2657.17670377655,220871.73214285713,06/26/2022
3571,2022-06-27 00:00:00,TRE,Texas,Severe Weather,14.0,2491.0,06/28/2022
3572,2022-06-27 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,06/27/2022
3573,2022-06-28 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,06/28/2022
3574,2022-06-28 00:00:00,SERC,Kentucky,Suspicious Activity,40.01083712953746,20548.62962962963,06/28/2022
3575,2022-06-30 00:00:00,RF,Michigan,System Operations,485.892120885498,100242.0985915493,06/30/2022
3576,2022-07-01 00:00:00,WECC,California,Vandalism,20.0,58512.31137724551,Unknown
3577,2022-07-03 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,07/03/2022
3578,2022-07-03 00:00:00,MRO,Oklahoma,Vandalism,77.87576430922083,22759.555555555555,07/03/2022
3579,2022-07-03 00:00:00,WECC,California,Actual Physical Attack,492.8332770163392,1079.0,Unknown
3580,2022-07-04 00:00:00,WECC,California,System Operations,3.0,3001.0,Unknown
3581,2022-07-05 00:00:00,WECC,Washington,Actual Physical Attack,271.4139681316148,55748.43961352657,07/05/2022
3584,2022-07-06 00:00:00,SERC,Virginia,Suspicious Activity,318171010.60976845,123193.76595744681,07/06/2022
3585,2022-07-06 00:00:00,SERC,Kentucky,Vandalism,40.01083712953746,20548.62962962963,07/06/2022
3586,2022-07-06 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,07/06/2022
3587,2022-07-06 00:00:00,MRO,Oklahoma,Actual Physical Attack,25.0,4836.0,Unknown
3588,2022-07-09 00:00:00,SERC,Louisiana,System Operations,120.93986388353828,4724.0,07/09/2022
3589,2022-07-10 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,07/11/2022
3590,2022-07-11 00:00:00,WECC,California,Vandalism,2.0,58512.31137724551,Unknown
3591,2022-07-12 00:00:00,RF,Maryland,Severe Weather,800.0,165000.0,Unknown
3592,2022-07-12 00:00:00,WECC,Washington,Actual Physical Attack,271.4139681316148,55748.43961352657,07/12/2022
3593,2022-07-12 00:00:00,RF,Maryland,Severe Weather,134.8943673947547,50200.0,07/12/2022
3594,2022-07-13 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,07/13/2022
3595,2022-07-13 00:00:00,WECC,Colorado,Vandalism,19.38439024748377,9019.057142857142,07/13/2022
3596,2022-07-15 00:00:00,MRO,Nebraska,Actual Physical Attack,71.21943582300112,14684.21052631579,07/15/2022
3597,2022-07-18 00:00:00,SERC,South Carolina,Fuel Supply Deficiency,4500.0,130797.42028985507,Unknown
3598,2022-07-18 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,07/18/2022
3599,2022-07-19 00:00:00,SERC,Florida,System Operations,227.50106613533714,37765.944444444445,07/19/2022
3600,2022-07-19 00:00:00,SERC,Florida,System Operations,227.50106613533714,37765.944444444445,07/19/2022
3601,2022-07-23 00:00:00,RF,Michigan,Severe Weather,485.892120885498,93750.0,07/24/2022
3602,2022-07-25 00:00:00,RF,Pennsylvania,Transmission Interruption,148.56996722614406,56300.70909090909,07/25/2022
3603,2022-07-26 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,07/26/2022
3604,2022-07-26 00:00:00,WECC,California,Suspicious Activity,492.8332770163392,58512.31137724551,07/26/2022
3605,2022-07-26 00:00:00,RF,Pennsylvania,Suspicious Activity,148.56996722614406,56300.70909090909,07/26/2022
3606,2022-07-28 00:00:00,WECC,California,Actual Physical Attack,492.8332770163392,58512.31137724551,07/28/2022
3607,2022-07-29 00:00:00,RF,Pennsylvania,Suspicious Activity,148.56996722614406,56300.70909090909,07/29/2022
3608,2022-07-30 00:00:00,WECC,California,System Operations,492.8332770163392,58512.31137724551,08/01/2022
3609,2022-07-31 00:00:00,NPCC,New York,System Operations,218.33384717844993,54921.72173913044,07/31/2022
3610,2022-08-01 00:00:00,SERC,Georgia,Vandalism,1495.8704706470123,66990.77192982456,08/01/2022
3611,2022-08-01 00:00:00,WECC,California,Actual Physical Attack,492.8332770163392,58512.31137724551,08/01/2022
3612,2022-08-03 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,08/03/2022
3614,2022-08-03 00:00:00,RF,Michigan,Severe Weather,485.892120885498,71000.0,08/05/2022
3615,2022-08-03 00:00:00,RF,Michigan,Severe Weather,485.892120885498,91264.0,08/03/2022
3616,2022-08-04 00:00:00,RF,Maryland,Severe Weather,134.8943673947547,75500.0,08/05/2022
3617,2022-08-05 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,08/05/2022
3618,2022-08-05 00:00:00,WECC,Washington,Actual Physical Attack,3.0,350.0,08/05/2022
3619,2022-08-09 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,08/09/2022
3620,2022-08-09 00:00:00,RF,Ohio,System Operations,333.98545180267575,62464.0,08/09/2022
3621,2022-08-09 00:00:00,SERC,Missouri,System Operations,82.32797873704556,36113.92682926829,08/09/2022
3622,2022-08-09 00:00:00,SERC,Florida,System Operations,227.50106613533714,37765.944444444445,08/09/2022
3623,2022-08-09 00:00:00,SERC,Florida,System Operations,227.50106613533714,37765.944444444445,08/09/2022
3624,2022-08-10 00:00:00,SERC,Arkansas,Severe Weather,24.0,27725.25,08/10/2022
3625,2022-08-10 00:00:00,SERC,Alabama,Vandalism,98.91420155952726,20018.76923076923,08/10/2022
3626,2022-08-10 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,140464.0,08/11/2022
3627,2022-08-12 00:00:00,SERC,Georgia,Vandalism,1495.8704706470123,66990.77192982456,08/12/2022
3629,2022-08-15 00:00:00,WECC,Nevada,Vandalism,2657.17670377655,220871.73214285713,08/15/2022
3630,2022-08-15 00:00:00,RF,New Jersey,Transmission Interruption,35.071579503023216,98520.64705882352,08/15/2022
3631,2022-08-18 00:00:00,RF,Ohio,System Operations,333.98545180267575,33853.63043478261,08/18/2022
3632,2022-08-19 00:00:00,NPCC,Massachusetts,Actual Physical Attack,16.370022732034833,37383.10344827586,08/19/2022
3633,2022-08-19 00:00:00,WECC,Washington,Cyber Event,271.4139681316148,55748.43961352657,08/20/2022
3634,2022-08-22 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,08/22/2022
3635,2022-08-22 00:00:00,TRE,Texas,System Operations,24.0,6385.0,08/22/2022
3636,2022-08-22 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,75034.07073954983,08/22/2022
3637,2022-08-24 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,08/24/2022
3638,2022-08-25 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,08/25/2022
3639,2022-08-25 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,08/25/2022
3640,2022-08-26 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,08/26/2022
3641,2022-08-27 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,08/27/2022
3642,2022-08-28 00:00:00,NPCC,New York,System Operations,218.33384717844993,54921.72173913044,08/28/2022
3643,2022-08-29 00:00:00,RF,Michigan,Severe Weather,485.892120885498,197740.0,09/01/2022
3644,2022-08-29 00:00:00,RF,Michigan,Severe Weather,485.892120885498,100242.0985915493,Unknown
3645,2022-08-29 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,08/29/2022
